per_plot V2 V3 V4 V5 V6 V7 V8
temp_spectre 500000.5 42 5 9 1 6 3 5
temp_spectre.1 1000000.5 56 6 9 1 11 4 7
temp_spectre.2 1500000.5 80 8 10 20 12 3 6
temp_spectre.3 2000000.5 77 12 10 23 9 4 3
temp_spectre.4 2500000.5 79 24 12 8 16 3 2
temp_spectre.5 3000000.5 86 29 14 10 13 1 0
temp_spectre.6 3500000.5 82 25 16 12 5 4 0
temp_spectre.7 4000000.5 64 16 12 12 6 4 0
temp_spectre.8 4500000.5 56 12 7 9 7 1 2
temp_spectre.9 5000000.5 71 20 7 14 8 3 2
temp_spectre.10 5500000.5 68 12 6 11 11 5 2
temp_spectre.11 6000000.5 68 12 6 2 8 3 2
temp_spectre.12 6500000.5 66 22 7 1 5 0 1
temp_spectre.13 7000000.5 76 19 13 4 9 5 1
temp_spectre.14 7500000.5 89 15 16 11 7 11 2
temp_spectre.15 8000000.5 92 18 14 11 8 10 4
temp_spectre.16 8500000.5 84 18 14 7 9 9 4
temp_spectre.17 9000000.5 61 12 10 3 3 6 2
temp_spectre.18 9500000.5 73 20 9 9 3 7 2
temp_spectre.19 10000000.5 101 27 12 13 6 15 3
temp_spectre.20 10500000.5 105 30 13 6 5 10 3
temp_spectre.21 11000000.5 94 29 9 13 6 2 2
temp_spectre.22 11500000.5 108 41 10 17 9 5 1
temp_spectre.23 12000000.5 115 40 12 17 8 11 3
temp_spectre.24 12500000.5 67 18 4 13 4 7 4
temp_spectre.25 13000000.5 66 23 10 12 5 3 2
temp_spectre.26 13500000.5 108 22 19 21 11 10 1
temp_spectre.27 14000000.5 99 14 12 14 9 12 2
temp_spectre.28 14500000.5 86 31 4 6 4 8 1
temp_spectre.29 15000000.5 85 30 5 8 3 7 0
temp_spectre.30 15500000.5 83 22 13 9 2 10 0
temp_spectre.31 16000000.5 80 25 16 7 5 8 0
temp_spectre.32 16500000.5 61 19 9 3 6 3 1
temp_spectre.33 17000000.5 79 24 14 10 4 7 3
temp_spectre.34 17500000.5 91 21 14 14 6 9 2
temp_spectre.35 18000000.5 89 17 11 8 11 3 4
temp_spectre.36 18500000.5 80 16 16 6 14 0 5
temp_spectre.37 19000000.5 87 22 12 9 9 2 4
temp_spectre.38 19500000.5 117 47 10 11 6 3 8
temp_spectre.39 20000000.5 105 42 9 18 8 3 7
temp_spectre.40 20500000.5 125 36 17 23 9 6 7
temp_spectre.41 21000000.5 144 38 24 15 19 8 7
temp_spectre.42 21500000.5 123 23 24 13 17 9 8
temp_spectre.43 22000000.5 84 16 18 7 4 7 10
temp_spectre.44 22500000.5 55 19 6 1 6 4 5
temp_spectre.45 23000000.5 88 40 2 4 9 8 2
temp_spectre.46 23500000.5 103 36 10 7 16 7 1
temp_spectre.47 24000000.5 83 20 14 8 14 5 1
temp_spectre.48 24500000.5 75 18 9 12 5 6 9
temp_spectre.49 25000000.5 73 32 5 8 7 4 8
